FUSION EVENT,INTERACTION AFFECTED,GENE 1 NAME, GENE 1 SWISSPROT, GENE 1 PDB SET,GENE 2 NAME, GENE 2 SWISSPROT, GENE 2 PDB SET,Interactome3D Result
F HEY1-NCOA2,I NCOA2-YAP1,NCOA2,Q15596,1GWQ~1GWR~1M2Z~1MV9~1MVC~1MZN~1P93~1T63~1T65~1UHL~1YOK~1ZDT~1ZDU~1ZKY~2AO6~2B1V~2B1Z~2B23~2FAI~2G44~2G5O~2LDC~2P15~2P1T~2P1U~2P1V~2Q7J~2Q7L~2YJD~2ZXZ~2ZY0~3A9E~3CLD~3DZU~3DZY~3E00~3E7C~3E94~3ERD~3FUG~3GN8~3K22~3K23~3KWY~3KYT~3L0E~3L0J~3L0L~3O1D~3O1E~3OAP~3OZJ~3PCU~3PLZ~3Q95~3Q97~3R5M~3UP0~3UP3~4CSJ~4DOS~4E2J~4FHH~4FHI~4IA1~4IA2~4IA3~4IA7~4IQR~4IU7~4IUI~4IV2~4IV4~4IVW~4IVY~4IW6~4IW8~4IWC~4IWF~4K4J~4K6I~4M8E~4M8H~4NIE~4NQA~4OC7~4P6W~4P6X~4POH~4POJ~4PP3~4PP5~4PP6~4PPP~4PPS~4PXM~4Q0A~4QE6~4QE8~4RFW~4RMC~4RMD~4RME~4RUO~4WG0~4ZN9~4ZO1,YAP1,P46937,1JMQ~1K5R~1K9Q~1K9R~2LAW~2LAX~2LAY~2LTV~2LTW~3KYS~3MHR~4RE1~4REX,No Interaction Reported by Interactome3D~
F KMT2A-GPHN,I GPHN-GPHN,GPHN,P28472,1JLJ,GPHN,Q9NQX3,1JLJ,No Interaction Reported by Interactome3D~
F CD74-NRG1,I CD74-ZAP70,CD74,P04233,1A6A~1ICF~1IIE~1L3H~1MUJ~3PDO~3PGC~3PGD~3QXA~3QXD~4AEN~4AH2,ZAP70,P43403,1FBV~1M61~1U59~2CBL~2OQ1~2OZO~2Y1N~3ZNI~4A4B~4A4C~4K2R~4XZ0~4XZ1,No Interaction Reported by Interactome3D~
F FUS-FEV,I FEV-SOX2,FEV,Q99581,2YPR~3ZP5,SOX2,P48431,1O4X~2LE4,No Interaction Reported by Interactome3D~
F PTPRK-RSPO3,I PTPRK-TEK,PTPRK,Q15262,2C7S,TEK,Q02763,1FVR~2GY5~2GY7~2OO8~2OSC~2P4I~2WQB~3BEA~3L8P~4K0V~4X3J,Interaction Reported by Interactome3D~http://interactome3d.irbbarcelona.org/api/getInteractionStructures?queryProt1=Q15262&queryProt2=Q02763
F EZR-ROS1,I EZR-VCAM1,EZR,P15311,1NI2,VCAM1,P19320,1IJ9~1VCA~1VSC,No Interaction Reported by Interactome3D~
F LMNA-NTRK1,I LMNA-TINF2,LMNA,P02545,1IFR~1IVT~1X8Y~2XV5~2YPT~3GEF~3V4Q~3V4W~3V5B,TINF2,Q9BSI4,3BQO~3BU8,No Interaction Reported by Interactome3D~
F BCR-ABL1,I ABL1-ZFP36L2,ABL1,P00519,1AB2~1ABL~1AWO~1BBZ~1JU5~1OPL~1ZZP~2ABL~2E2B~2F4J~2FO0~2G1T~2G2F~2G2H~2G2I~2GQG~2HIW~2HYY~2HZ0~2HZ4~2HZI~2O88~2V7A~3CS9~3EG0~3EG1~3EG2~3EG3~3EGU~3K2M~3PYY~3QRI~3QRJ~3QRK~3T04~3UE4~3UYO~4J9B~4J9C~4J9D~4J9E~4J9F~4J9G~4J9H~4J9I~4JJB~4JJC~4JJD~4TWP~4WA9~4XEY,ZFP36L2,P47974,1RGO,No Interaction Reported by Interactome3D~
F KMT2A-MLLT3,I MLLT3-RNF2,MLLT3,P42568,2LM0~2MV7~4TMP,RNF2,Q99496,2H0D~3GS2~3H8H~3IXS~3RPG~4R8P~4S3O,No Interaction Reported by Interactome3D~
F ETV6-NTRK3,I ETV6-UBE2I,ETV6,P41212,1JI7~1LKY~2DAO~2QAR~2QB0~2QB1,UBE2I,P63279,1A3S~1KPS~1Z5Q~1Z5S~2GRN~2GRO~2GRP~2GRQ~2GRR~2O25~2PE6~2PX9~2XWU~3A4S~3UIN~3UIO~3UIP~4W5V~4Y1L~5D2M,No Interaction Reported by Interactome3D~
F GNAI1-BRAF,I GNAI1-YES1,GNAI1,P63096,1KJY~1Y3A~2G83~2GTP~2IK8~2OM2~2PZ3~2XNS~3ONW~3QE0~3QI2~3UMR~3UMS~4G5Q,YES1,P07947,2HDA,No Interaction Reported by Interactome3D~
F FGFR1-TACC1,I FGFR1-VEGFC,FGFR1,P11362,1AGW~1CVS~1EVT~1FGI~1FGK~1FQ9~1XR0~2CR3~2FGI~3C4F~3DPK~3GQI~3GQL~3JS2~3KRJ~3KRL~3KXX~3KY2~3OJV~3RHX~3TT0~3WJ6~4F63~4F64~4F65~4NK9~4NKA~4NKS~4RWI~4RWJ~4RWK~4RWL~4UWB~4UWC~4UWY~4V01~4V04~4V05~4WUN~4ZSA~5A46~5A4C~5AM6~5AM7,VEGFC,P49767,2X1W~2X1X~4BSK,No Interaction Reported by Interactome3D~
F FHIT-HMGA2,I FHIT-FHIT,FHIT,P35222,1FHI~1FIT~2FHI~2FIT~3FIT~4FIT~5FIT~6FIT,FHIT,P49789,1FHI~1FIT~2FHI~2FIT~3FIT~4FIT~5FIT~6FIT,No Interaction Reported by Interactome3D~
F SDC4-ROS1,I ROS1-ROS1,ROS1,P29350,3ZBF~4UXL,ROS1,P08922,3ZBF~4UXL,No Interaction Reported by Interactome3D~
F CANT1-ETV4,I CANT1-UBD,CANT1,Q8WVQ1,1S18~1S1D~2H2N~2H2U,UBD,O15205,2MBE,No Interaction Reported by Interactome3D~
F TCF3-PBX1,I PBX1-ZIC3,PBX1,P40424,1B72~1PUF,ZIC3,O60481,2EJ4~2RPC,No Interaction Reported by Interactome3D~
F PAX3-NCOA1,I NCOA1-YWHAH,NCOA1,Q15788,1FM6~1FM9~1K4W~1K74~1K7L~1KV6~1N4H~1NQ7~1NRL~1P8D~1PZL~1RDT~1TFC~1U3R~1U3S~1X76~1X78~1X7B~1X7J~1XIU~1XV9~1XVP~1YY4~1YYE~1ZAF~2A3I~2C52~2FVJ~2GTK~2HBH~2HC4~2HCD~2HFP~2NPA~2NV7~2P54~2PRG~3BEJ~3BQD~3CTB~3CWD~3DCT~3DCU~3DR1~3ET1~3ET3~3FEI~3FEJ~3FUR~3FXV~3G8I~3G9E~3GYT~3GYU~3H0A~3HC5~3HC6~3HVL~3IPQ~3IPS~3IPU~3KMR~3LMP~3OKH~3OKI~3OLF~3OLL~3OLS~3OMK~3OMM~3OMO~3OMP~3OMQ~3OOF~3OOK~3P88~3P89~3QT0~3RUT~3RUU~3RVF~3S9S~3T03~3UU7~3UUA~3UUD~3V9Y~3VN2~4DK7~4DK8~4DM6~4DM8~4DQM~4F9M~4FGY~4G1D~4G1Y~4G1Z~4G20~4G21~4G2H~4HEE~4J5X~4JYG~4JYH~4JYI~4MG5~4MG6~4MG7~4MG8~4MG9~4MGA~4MGB~4MGC~4MGD~4RUJ~4RUP~4TUZ~4TV1~4Y29~5A86~5AVI~5AVL,YWHAH,Q04917,2C63~2C74,No Interaction Reported by Interactome3D~
F CTAGE5-GEMIN2,I GEMIN2-WDR77,GEMIN2,O14893,2LEH~3S6N,WDR77,Q9BQA1,4GQB~4X60~4X61~4X63,No Interaction Reported by Interactome3D~
F KIF5B-ALK,I KIF5B-YWHAB,KIF5B,P33176,1BG2~1MKJ~2P4N~3J8X~3J8Y~4HNA~4LNU,YWHAB,P31946,2BQ0~2C23~4DNK,No Interaction Reported by Interactome3D~
F CLTC-TFE3,I CLTC-YWHAZ,CLTC,Q00610,2XZG~4G55,YWHAZ,P63104,1IB1~1QJA~1QJB~2C1J~2C1N~2O02~2WH0~3CU8~3NKX~3RDH~4BG6~4FJ3~4HKC~4IHL~4N7G~4N7Y~4N84~4WRQ~4ZDR,No Interaction Reported by Interactome3D~
F PLAG1-CTNNB1,I CTNNB1-ZBTB33,CTNNB1,P35222,1G3J~1JDH~1JPW~1LUJ~1P22~1QZ7~1T08~1TH1~2G57~2GL7~2Z6H~3DIW~3FQN~3FQR~3SL9~3SLA~3TX7~4DJS,ZBTB33,Q86T24,2LT7~3FKC~3M4T~3M8V~4F6M~4F6N,No Interaction Reported by Interactome3D~
F KMT2A-EPS15,I EPS15-UBC,EPS15,P42566,1C07~1EH2~1F8H~1FF1~2IV9~2JXC~4RH5~4RH9~4RHG~4S0G,UBC,P0CG48,1C3T~1CMX~1D3Z~1F9J~1FXT~1G6J~1GJZ~1NBF~1OGW~1Q5W~1S1Q~1SIF~1TBE~1UBI~1UBQ~1UD7~1XD3~1XQQ~1YX5~1YX6~1ZGU~1ZO6~2AYO~2BGF~2DEN~2FUH~2G45~2GBJ~2GBK~2GBM~2GBN~2GBR~2GMI~2HTH~2IBI~2J7Q~2JF5~2JRI~2JY6~2JZZ~2K25~2K6D~2K8B~2K8C~2KDF~2KHW~2KJH~2KLG~2KN5~2KX0~2L3Z~2LD9~2LVO~2LVP~2LVQ~2LZ6~2MBO~2MBQ~2MCN~2MI8~2MJ5~2MOR~2MRE~2MWS~2N2K~2NR2~2O6V~2OJR~2PE9~2PEA~2RR9~2RU6~2W9N~2WDT~2XEW~2Y5B~2Z59~2ZCB~2ZVN~2ZVO~3A33~3ALB~3AUL~3B08~3B0A~3BY4~3C0R~3DVG~3DVN~3EEC~3EFU~3EHV~3H7P~3H7S~3HM3~3I3T~3IFW~3IHP~3JSV~3JVZ~3JW0~3K9O~3K9P~3KVF~3KW5~3LDZ~3MHS~3MTN~3N30~3N32~3N3K~3NS8~3O65~3OFI~3OJ3~3OJ4~3ONS~3PRM~3PT2~3PTF~3Q3F~3RUL~3TMP~3U30~3UGB~3V6C~3V6E~3VFK~3VUW~3VUX~3VUY~3WXE~3WXF~3ZLZ~3ZNH~3ZNI~3ZNZ~4AUQ~4BOS~4BOZ~4BVU~4DDG~4DDI~4DHJ~4DHZ~4FJV~4HK2~4HXD~4I6L~4I6N~4IG7~4IUM~4JQW~4K1R~4K7S~4K7U~4K7W~4KSK~4KSL~4LCD~4LDT~4MDK~4MM3~4MSM~4MSQ~4NQK~4UN2~4V3K~4V3L~4WZP~4XOK~4XOL~5A5B~5AF4~5AF5~5AF6~5AIT~5AIU,No Interaction Reported by Interactome3D~
F SSH2-SUZ12,I SSH2-SSH2,SSH2,P23528,2NT2,SSH2,Q76I76,2NT2,No Interaction Reported by Interactome3D~
F HN1-USH1G,I USH1G-USH1G,USH1G,Q9Y6N9,2L7T~3K1R~3PVL,USH1G,Q495M9,2L7T~3K1R~3PVL,Interaction Reported by Interactome3D~http://interactome3d.irbbarcelona.org/api/getInteractionStructures?queryProt1=Q9Y6N9&queryProt2=Q495M9
F PAX8-PPARG,I PPARG-YAP1,PPARG,P37231,1FM6~1FM9~1I7I~1K74~1KNU~1NYX~1PRG~1RDT~1WM0~1ZEO~1ZGY~2ATH~2F4B~2FVJ~2G0G~2G0H~2GTK~2HFP~2HWQ~2HWR~2I4J~2I4P~2I4Z~2OM9~2P4Y~2POB~2PRG~2Q59~2Q5P~2Q5S~2Q61~2Q6R~2Q6S~2Q8S~2QMV~2VSR~2VST~2VV0~2VV1~2VV2~2VV3~2VV4~2XKW~2YFE~2ZK0~2ZK1~2ZK2~2ZK3~2ZK4~2ZK5~2ZK6~2ZNO~2ZVT~3ADS~3ADT~3ADU~3ADV~3ADW~3ADX~3AN3~3AN4~3B0Q~3B0R~3B1M~3B3K~3BC5~3CDP~3CDS~3CS8~3CWD~3D6D~3DZU~3DZY~3E00~3ET0~3ET3~3FEJ~3FUR~3G9E~3GBK~3H0A~3HO0~3HOD~3IA6~3K8S~3KMG~3LMP~3NOA~3OSI~3OSW~3PBA~3PO9~3PRG~3QT0~3R5N~3R8A~3R8I~3S9S~3SZ1~3T03~3TY0~3U9Q~3V9T~3V9V~3V9Y~3VJH~3VJI~3VN2~3VSO~3VSP~3WJ4~3WJ5~3WMH~3X1H~3X1I~4A4V~4A4W~4CI5~4E4K~4E4Q~4EM9~4EMA~4F9M~4FGY~4HEE~4JAZ~4JL4~4L96~4L98~4O8F~4OJ4~4PRG~4PVU~4PWL~4R2U~4R6S~4XLD~4XTA~4XUM~4Y29,YAP1,P46937,1JMQ~1K5R~1K9Q~1K9R~2LAW~2LAX~2LAY~2LTV~2LTW~3KYS~3MHR~4RE1~4REX,No Interaction Reported by Interactome3D~
F SDC4-ROS1,I SDC4-VTN,SDC4,P31431,1EJP~1EJQ~1OBY~1YBO,VTN,P04004,1OC0~1S4G~1SSU~2JQ8~3BT1~3BT2~4K24,No Interaction Reported by Interactome3D~
F KMT2A-MLLT4,I MLLT4-YES1,MLLT4,P55196,1T2M~1XZ9~2AIN~2EXG,YES1,P07947,2HDA,No Interaction Reported by Interactome3D~
F EWSR1-CREB1,I CREB1-ZBTB17,CREB1,P16220,2LXT,ZBTB17,Q13105,2LVR~2LVT~2LVU~2M0D~2M0E~2M0F~2N25~2N26~2Q81~3M52~4U2M~4U2N,No Interaction Reported by Interactome3D~
F ZC3H7B-BCOR,I BCOR-PPARG,BCOR,Q6W2J9,3BIM~4HPL,PPARG,P37231,1FM6~1FM9~1I7I~1K74~1KNU~1NYX~1PRG~1RDT~1WM0~1ZEO~1ZGY~2ATH~2F4B~2FVJ~2G0G~2G0H~2GTK~2HFP~2HWQ~2HWR~2I4J~2I4P~2I4Z~2OM9~2P4Y~2POB~2PRG~2Q59~2Q5P~2Q5S~2Q61~2Q6R~2Q6S~2Q8S~2QMV~2VSR~2VST~2VV0~2VV1~2VV2~2VV3~2VV4~2XKW~2YFE~2ZK0~2ZK1~2ZK2~2ZK3~2ZK4~2ZK5~2ZK6~2ZNO~2ZVT~3ADS~3ADT~3ADU~3ADV~3ADW~3ADX~3AN3~3AN4~3B0Q~3B0R~3B1M~3B3K~3BC5~3CDP~3CDS~3CS8~3CWD~3D6D~3DZU~3DZY~3E00~3ET0~3ET3~3FEJ~3FUR~3G9E~3GBK~3H0A~3HO0~3HOD~3IA6~3K8S~3KMG~3LMP~3NOA~3OSI~3OSW~3PBA~3PO9~3PRG~3QT0~3R5N~3R8A~3R8I~3S9S~3SZ1~3T03~3TY0~3U9Q~3V9T~3V9V~3V9Y~3VJH~3VJI~3VN2~3VSO~3VSP~3WJ4~3WJ5~3WMH~3X1H~3X1I~4A4V~4A4W~4CI5~4E4K~4E4Q~4EM9~4EMA~4F9M~4FGY~4HEE~4JAZ~4JL4~4L96~4L98~4O8F~4OJ4~4PRG~4PVU~4PWL~4R2U~4R6S~4XLD~4XTA~4XUM~4Y29,No Interaction Reported by Interactome3D~
F TRIM24-RET,I TRIM24-ZNF473,TRIM24,O15164,2YYN~3O33~3O34~3O35~3O36~3O37~4YAB~4YAD~4YAT~4YAX~4YBM~4YBS~4YBT~4YC9~4ZQL,ZNF473,Q8WTR7,2EMB~2EMC~2EME~2EOU~2EOX~2EOY~2EOZ~2YRH~2YRJ~2YSV~2YTD~2YTE~2YTT~2YU5,No Interaction Reported by Interactome3D~
F EWSR1-NFATC1,I NFATC1-YWHAQ,NFATC1,O95644,1A66~1NFA,YWHAQ,P27348,2BTP,No Interaction Reported by Interactome3D~
F ETV6-NTRK3,I NTRK3-UBC,NTRK3,Q16288,1WWC~3V5Q~4YMJ,UBC,P0CG48,1C3T~1CMX~1D3Z~1F9J~1FXT~1G6J~1GJZ~1NBF~1OGW~1Q5W~1S1Q~1SIF~1TBE~1UBI~1UBQ~1UD7~1XD3~1XQQ~1YX5~1YX6~1ZGU~1ZO6~2AYO~2BGF~2DEN~2FUH~2G45~2GBJ~2GBK~2GBM~2GBN~2GBR~2GMI~2HTH~2IBI~2J7Q~2JF5~2JRI~2JY6~2JZZ~2K25~2K6D~2K8B~2K8C~2KDF~2KHW~2KJH~2KLG~2KN5~2KX0~2L3Z~2LD9~2LVO~2LVP~2LVQ~2LZ6~2MBO~2MBQ~2MCN~2MI8~2MJ5~2MOR~2MRE~2MWS~2N2K~2NR2~2O6V~2OJR~2PE9~2PEA~2RR9~2RU6~2W9N~2WDT~2XEW~2Y5B~2Z59~2ZCB~2ZVN~2ZVO~3A33~3ALB~3AUL~3B08~3B0A~3BY4~3C0R~3DVG~3DVN~3EEC~3EFU~3EHV~3H7P~3H7S~3HM3~3I3T~3IFW~3IHP~3JSV~3JVZ~3JW0~3K9O~3K9P~3KVF~3KW5~3LDZ~3MHS~3MTN~3N30~3N32~3N3K~3NS8~3O65~3OFI~3OJ3~3OJ4~3ONS~3PRM~3PT2~3PTF~3Q3F~3RUL~3TMP~3U30~3UGB~3V6C~3V6E~3VFK~3VUW~3VUX~3VUY~3WXE~3WXF~3ZLZ~3ZNH~3ZNI~3ZNZ~4AUQ~4BOS~4BOZ~4BVU~4DDG~4DDI~4DHJ~4DHZ~4FJV~4HK2~4HXD~4I6L~4I6N~4IG7~4IUM~4JQW~4K1R~4K7S~4K7U~4K7W~4KSK~4KSL~4LCD~4LDT~4MDK~4MM3~4MSM~4MSQ~4NQK~4UN2~4V3K~4V3L~4WZP~4XOK~4XOL~5A5B~5AF4~5AF5~5AF6~5AIT~5AIU,No Interaction Reported by Interactome3D~
F EWSR1-PATZ1,I PATZ1-SOX2,PATZ1,Q9HBE1,2EPP~2EPQ~2EPR~2EPS~2YT9,SOX2,P48431,1O4X~2LE4,No Interaction Reported by Interactome3D~
F EIF3K-CYP39A1,I EIF3K-YBX1,EIF3K,Q9UBQ5,1RZ4~3J8B~3J8C,YBX1,P67809,1H95,No Interaction Reported by Interactome3D~
F ARID1A-MAST2,I MAST2-TTN,MAST2,Q6P0Q8,2KQF~2KYL,TTN,Q8WZ42,1BPV~1G1C~1NCT~1NCU~1TIT~1TIU~1TKI~1TNM~1TNN~1WAA~1YA5~2A38~2BK8~2F8V~2ILL~2J8H~2J8O~2NZI~2RQ8~2WP3~2WWK~2WWM~2Y9R~3B43~3KNB~3LCY~3LPW~3PUC~3Q5O~3QP3~4C4K~4JNW~4O00~4QEG~4UOW,No Interaction Reported by Interactome3D~
F CDKN2D-WDFY2,I CDKN2D-TP53,CDKN2D,P55273,1BD8~1BI8,TP53,P04637,1A1U~1AIE~1C26~1DT7~1GZH~1H26~1HS5~1JSP~1KZY~1MA3~1OLG~1OLH~1PES~1PET~1SAE~1SAF~1SAK~1SAL~1TSR~1TUP~1UOL~1XQH~1YC5~1YCQ~1YCR~1YCS~2AC0~2ADY~2AHI~2ATA~2B3G~2BIM~2BIN~2BIO~2BIP~2BIQ~2F1X~2FEJ~2FOJ~2FOO~2GS0~2H1L~2H2D~2H2F~2H4F~2H4H~2H4J~2H59~2J0Z~2J10~2J11~2J1W~2J1X~2J1Y~2J1Z~2J20~2J21~2K8F~2L14~2LY4~2MEJ~2MWO~2MWP~2MZD~2OCJ~2PCX~2RUK~2VUK~2WGX~2X0U~2X0V~2X0W~2XWR~2YBG~2YDR~2Z5S~2Z5T~3D05~3D06~3D07~3D08~3D09~3D0A~3DAB~3DAC~3IGK~3IGL~3KMD~3KZ8~3LW1~3OQ5~3PDH~3Q01~3Q05~3Q06~3SAK~3TG5~3TS8~3ZME~4AGL~4AGM~4AGN~4AGO~4AGP~4AGQ~4BUZ~4BV2~4HFZ~4HJE~4IBQ~4IBS~4IBT~4IBU~4IBV~4IBW~4IBY~4IBZ~4IJT~4KVP~4LO9~4LOE~4LOF~4MZI~4MZR~4QO1~4X34~4ZZJ~5A7B,No Interaction Reported by Interactome3D~
F NONO-TFE3,I NONO-YWHAQ,NONO,Q15233,3SDE,YWHAQ,P27348,2BTP,No Interaction Reported by Interactome3D~
F KMT2A-CREBBP,I CREBBP-ZFHX3,CREBBP,Q92793,1JSP~1LIQ~1RDT~1WO3~1WO4~1WO5~1WO6~1WO7~1ZOQ~2D82~2KJE~2KWF~2L84~2L85~2LXS~2LXT~2RNY~3DWY~3P1C~3P1D~3P1E~3P1F~3SVH~4A9K~4N3W~4N4F~4NR4~4NR5~4NR6~4NR7~4NYV~4NYW~4NYX~4OUF~4TQN~4TS8~4WHU,ZFHX3,Q15911,2DA1~2DA2~2DA3,No Interaction Reported by Interactome3D~
F BCR-ABL1,I BCR-YWHAZ,BCR,P11274,1K1F~2AIN,YWHAZ,P63104,1IB1~1QJA~1QJB~2C1J~2C1N~2O02~2WH0~3CU8~3NKX~3RDH~4BG6~4FJ3~4HKC~4IHL~4N7G~4N7Y~4N84~4WRQ~4ZDR,No Interaction Reported by Interactome3D~
F MBTD1-CXorf67,I MBTD1-WDR5,MBTD1,Q05BQ5,3FEO~4C5I,WDR5,P61964,2CNX~2CO0~2G99~2G9A~2GNQ~2H13~2H14~2H68~2H6K~2H6N~2H6Q~2H9L~2H9M~2H9N~2H9P~2O9K~3EG6~3EMH~3MXX~3N0D~3N0E~3P4F~3PSL~3SMR~3UR4~3UVK~3UVL~3UVM~3UVN~3UVO~4A7J~4CY1~4CY2~4ERQ~4ERY~4ERZ~4ES0~4ESG~4EWR~4GM3~4GM8~4GM9~4GMB~4IA9~4O45~4QL1~4Y7R~5EAL~5EAM~5EAP~5EAR,No Interaction Reported by Interactome3D~
F LMNA-NTRK1,I NTRK1-YWHAB,NTRK1,P04629,1HE7~1SHC~1WWA~1WWW~2IFG~4AOJ~4CRP~4F0I~4GT5~4PMM~4PMP~4PMS~4PMT~4YNE~4YPS,YWHAB,P31946,2BQ0~2C23~4DNK,No Interaction Reported by Interactome3D~
F TCF12-NR4A3,I TCF12-ZFHX3,TCF12,Q99081,2KNH~4JOL,ZFHX3,Q15911,2DA1~2DA2~2DA3,No Interaction Reported by Interactome3D~
F YWHAE-FAM22B,I YWHAE-YWHAZ,YWHAE,P62258,2BR9~3UAL~3UBW,YWHAZ,P63104,1IB1~1QJA~1QJB~2C1J~2C1N~2O02~2WH0~3CU8~3NKX~3RDH~4BG6~4FJ3~4HKC~4IHL~4N7G~4N7Y~4N84~4WRQ~4ZDR,Interaction Reported by Interactome3D~http://interactome3d.irbbarcelona.org/api/getInteractionStructures?queryProt1=P62258&queryProt2=P63104
F ACTB-GLI1,I GLI1-ZIC3,GLI1,P08151,2GLI~4BLB~4KMD,ZIC3,O60481,2EJ4~2RPC,No Interaction Reported by Interactome3D~
F PAX3-NCOA2,I PAX3-YAP1,PAX3,P23760,3CMY,YAP1,P46937,1JMQ~1K5R~1K9Q~1K9R~2LAW~2LAX~2LAY~2LTV~2LTW~3KYS~3MHR~4RE1~4REX,No Interaction Reported by Interactome3D~
F VTI1A-TCF7L2,I TCF7L2-ZNF451,TCF7L2,Q9NQB0,1JDH~1JPW~2GL7,ZNF451,Q9Y4E5,5D2M,No Interaction Reported by Interactome3D~
F UBE2L3-KRAS,I KRAS-YWHAZ,KRAS,P01116,1D8D~1D8E~1KZO~1KZP~2MSC~2MSD~2MSE~3GFT~4DSN~4DSO~4EPR~4EPT~4EPV~4EPW~4EPX~4EPY~4L8G~4LDJ~4LPK~4LRW~4LUC~4LV6~4LYF~4LYH~4LYJ~4M1O~4M1S~4M1T~4M1W~4M1Y~4M21~4M22~4NMM~4OBE~4PZY~4PZZ~4Q01~4Q02~4Q03~4QL3~4TQ9~4TQA~4WA7,YWHAZ,P63104,1IB1~1QJA~1QJB~2C1J~2C1N~2O02~2WH0~3CU8~3NKX~3RDH~4BG6~4FJ3~4HKC~4IHL~4N7G~4N7Y~4N84~4WRQ~4ZDR,No Interaction Reported by Interactome3D~
F KLC1-ALK,I KLC1-YWHAE,KLC1,Q07866,3NF1,YWHAE,P62258,2BR9~3UAL~3UBW,No Interaction Reported by Interactome3D~
F HERPUD1-BRAF,I HERPUD1-VCP,HERPUD1,Q15011,1WGD,VCP,P55072,3EBB~3HU1~3HU2~3HU3~3QC8~3QQ7~3QQ8~3QWZ~3TIW~4KDI~4KDL~4KLN~4KO8~4KOD~4P0A,No Interaction Reported by Interactome3D~
F EWSR1-WT1,I WT1-WT1,WT1,P63279,1LU6~1XF7~2G7T~2G7V~2G7W~2G7X~2JP9~2JPA~2PRT~3HPJ~3MYJ~4R2E~4R2P~4R2Q~4R2R~4R2S,WT1,P19544,1LU6~1XF7~2G7T~2G7V~2G7W~2G7X~2JP9~2JPA~2PRT~3HPJ~3MYJ~4R2E~4R2P~4R2Q~4R2R~4R2S,No Interaction Reported by Interactome3D~
F KMT2A-CBL,I CBL-ZAP70,CBL,P22681,1B47~1FBV~1YVH~2CBL~2JUJ~2K4D~2OO9~2Y1M~2Y1N~3BUM~3BUN~3BUO~3BUW~3BUX~3OB1~3OB2~3PLF~4A49~4A4B~4A4C~4GPL,ZAP70,P43403,1FBV~1M61~1U59~2CBL~2OQ1~2OZO~2Y1N~3ZNI~4A4B~4A4C~4K2R~4XZ0~4XZ1,Interaction Reported by Interactome3D~http://interactome3d.irbbarcelona.org/api/getInteractionStructures?queryProt1=P22681&queryProt2=P43403
F LIFR-PLAG1,I LIFR-TYK2,LIFR,P42702,3E0G,TYK2,P29597,3LXN~3LXP~3NYX~3NZ0~3ZON~4GFO~4GIH~4GII~4GJ2~4GJ3~4GVJ~4OLI~4PO6~4PY1~4WOV~5C01~5C03,No Interaction Reported by Interactome3D~
F AGPAT5-MCPH1,I MCPH1-SMC4,MCPH1,Q8NEM0,2WT8~3KTF~3PA6~3SHT~3SHV~3SZM~3T1N~3U3Z,SMC4,Q9NTJ3,4U4P,No Interaction Reported by Interactome3D~
F KMT2A-SEPT6,I SEPT6-STAT2,SEPT6,Q14141,2QAG,STAT2,P52630,2KA4,No Interaction Reported by Interactome3D~
F KMT2A-MLLT10,I MLLT10-TCF4,MLLT10,P55197,5DAG~5DAH,TCF4,P15884,2KWF,No Interaction Reported by Interactome3D~
F COL1A1-USP6,I COL1A1-VWF,COL1A1,P02452,1Q7D~2LLP~3EJH~3GXE,VWF,P04275,1AO3~1ATZ~1AUQ~1FE8~1FNS~1IJB~1IJK~1M10~1OAK~1SQ0~1U0N~1UEX~2ADF~2MHP~2MHQ~3GXB~3HXO~3HXQ~3PPV~3PPW~3PPX~3PPY~3ZQK~4C29~4C2A~4C2B~4DMU~4NT5,No Interaction Reported by Interactome3D~
F NF1-ASIC2,I NF1-YWHAZ,NF1,P21359,1NF1~2D4Q~2E2X~3P7Z~3PEG~3PG7,YWHAZ,P63104,1IB1~1QJA~1QJB~2C1J~2C1N~2O02~2WH0~3CU8~3NKX~3RDH~4BG6~4FJ3~4HKC~4IHL~4N7G~4N7Y~4N84~4WRQ~4ZDR,No Interaction Reported by Interactome3D~
F GOPC-ROS1,I GOPC-NUP62,GOPC,Q9HD26,2DC2~2LOB~4E34~4E35~4JOE~4JOF~4JOG~4JOH~4JOJ~4JOK~4JOP~4JOR~4K6Y~4K72~4K75~4K76~4K78~4NMO~4NMP~4NMQ~4NMR~4NMS~4NMT~4NMV~4Q6H~4Q6S,NUP62,P37198,2H4D,No Interaction Reported by Interactome3D~
